label,Turbidity,pH,Rainfall,Nitrogen,Phosphorus,Potassium,Humidity
Oregano,2.23,7.48,208.5,1.44,0.71,1.54,56.02
Aloe vera,1.18,7.49,597.5,2.72,0.12,2.07,32.49
Peace lily (Spathiphyllum),1.07,6.79,475.54,1.37,1.21,2.27,33.51
Marigold,0.91,7.06,431.48,1.81,1.19,1.56,54.37
Zinnia,0.67,6.15,341.54,2.98,1.18,1.34,53.66
Daffodil,4.34,7.3,674.53,1.43,0.42,1.23,40.47
Thyme,2.86,6.22,762.69,1.09,0.7,1.95,60.49
Lily,2.27,6.32,361.16,1.1,0.53,1.68,49.07
Chives,1.44,6.37,849.73,1.79,0.99,2.44,73.72
Morning glory,0.63,6.5,380.99,2.66,1.19,1.5,69.58
Nasturtium,2.4,5.78,815.4,1.06,0.79,1.0,66.44
Dill,0.56,5.65,397.79,1.95,0.84,1.69,64.05
Marigold,0.94,7.75,503.2,1.02,1.18,1.78,66.51
Impatiens,1.86,5.81,443.9,1.36,0.67,1.89,63.89
Peppermint,4.8,6.97,989.65,2.66,1.17,2.19,71.9
Marjoram,1.78,6.93,416.25,2.39,1.1,1.35,57.86
Crocus,0.9,6.22,716.51,2.05,1.33,0.9,43.04
Tarragon,2.64,6.25,255.88,1.73,0.93,1.91,44.97
Iris,4.63,6.87,231.73,2.3,0.92,1.32,40.89
Lavender,3.38,7.73,221.95,1.12,0.93,0.8,42.07
Spider plant (Chlorophytum comosum),1.67,5.69,744.47,0.83,0.98,1.0,75.86
Tulip,4.0,6.46,547.63,1.76,0.35,1.4,65.53
Aloe vera,1.6,6.04,666.5,1.67,1.37,2.02,51.71
Pansy,1.61,5.77,232.8,1.74,0.95,1.12,57.85
Dill,3.16,5.97,260.85,2.18,0.83,1.79,52.33
African violet (Saintpaulia),0.86,5.84,413.79,2.16,0.18,2.03,62.5
Marjoram,2.52,6.14,333.32,1.09,0.58,1.76,58.58
Rosemary,1.11,7.34,1173.86,1.2,0.68,1.7,53.27
Lavender cotton (Santolina),2.1,7.42,507.86,2.23,0.53,1.21,55.3
Rosemary,3.39,6.69,656.44,1.57,1.12,1.06,59.44
Tomato,0.72,6.12,385.14,2.24,0.82,2.44,61.75
Impatiens,1.32,7.15,722.22,2.43,0.8,1.25,73.35
Morning glory,1.61,7.04,233.67,2.03,0.63,1.33,51.02
Lavender cotton (Santolina),1.56,6.92,702.64,2.47,0.74,1.3,66.36
Pansy,2.11,6.9,832.3,1.96,1.16,1.26,72.07
Oregano,0.73,6.22,401.69,1.41,0.57,1.3,40.5
Mint,1.62,6.79,315.05,1.52,1.23,2.21,83.94
Chives,2.94,6.25,530.29,2.09,0.85,1.23,53.36
Impatiens,1.25,6.09,940.27,2.4,0.81,1.2,65.88
Lavender,1.48,7.84,535.06,1.58,0.72,1.3,46.74
Oregano,2.93,6.06,737.19,1.27,1.36,1.91,49.6
Fennel,2.69,7.09,670.23,2.88,0.54,1.43,54.62
Thyme,0.8,7.88,691.23,1.73,0.65,1.14,65.56
African violet (Saintpaulia),1.68,6.7,773.66,0.67,0.8,1.88,49.82
Bay leaf (Bay laurel),0.87,6.81,519.66,2.92,0.96,1.13,45.44
Lemon verbena,2.4,7.13,922.26,2.35,0.65,1.47,64.56
Pansy,3.06,6.45,676.39,2.41,1.05,1.91,65.9
Sweet pea,1.58,6.18,643.04,1.37,0.96,1.98,65.33
Basil,3.07,6.96,773.83,2.76,1.29,2.13,61.59
African violet (Saintpaulia),1.12,5.72,210.53,1.04,0.53,0.72,79.97
Sunflower,0.53,6.6,720.69,2.11,0.88,1.77,76.12
Oregano,0.52,6.86,766.91,2.48,0.76,1.53,60.95
Bay leaf (Bay laurel),3.06,7.18,295.81,2.32,0.86,1.52,53.63
Marigold,3.95,7.95,403.18,2.07,0.55,1.14,58.01
Pansy,3.34,6.43,290.78,2.06,0.57,1.53,56.37
Tulip,3.73,6.36,686.6,0.78,1.08,2.37,65.44
Lemon balm,3.0,6.54,269.82,2.46,0.95,1.66,53.48
Geranium,2.38,6.51,714.09,2.79,0.8,1.91,67.23
Chamomile,1.65,6.39,847.55,2.0,0.96,1.14,53.3
Orchid,3.46,7.2,422.74,1.87,0.57,2.48,69.5
Basil,0.66,6.14,1083.45,2.11,0.59,1.2,63.48
Daffodil,3.35,7.16,356.18,1.67,1.46,1.63,51.97
Pansy,1.21,6.26,404.71,2.26,0.6,1.82,62.63
Mint,4.55,6.19,651.58,2.03,0.64,1.07,88.49
Chamomile,0.92,6.35,795.68,2.28,0.68,1.3,65.95
Bay leaf (Bay laurel),1.78,7.73,242.15,2.08,0.87,1.13,64.85
Spearmint,3.6,7.25,980.53,2.59,1.1,2.22,89.25
Peppermint,4.27,7.04,734.07,1.83,0.83,1.88,89.2
Pothos (Epipremnum aureum),3.34,6.44,605.31,1.7,1.49,1.94,50.33
Marigold,0.61,7.13,598.47,2.59,0.85,1.26,62.59
Rosemary,3.73,7.15,859.35,1.13,1.02,1.13,50.72
Lily,2.34,5.75,299.91,1.8,0.48,2.41,31.38
Dill,3.32,6.28,772.16,1.01,0.95,1.26,64.6
Peace lily (Spathiphyllum),4.64,6.23,529.78,2.11,1.41,1.68,37.91
Petunia,1.19,7.23,583.91,2.23,1.15,1.51,76.64
Basil,2.77,6.35,1148.36,1.54,0.88,1.26,76.48
Aloe vera,2.08,6.36,448.61,2.79,0.96,2.43,62.99
Dill,0.52,6.25,657.59,2.1,0.76,1.19,41.0
Orchid,0.73,6.07,218.61,1.01,0.77,0.75,59.9
African violet (Saintpaulia),4.35,5.93,606.62,2.52,0.89,0.98,76.27
Impatiens,2.43,6.83,321.11,1.22,0.69,1.08,58.25
Cilantro,1.88,6.47,392.04,2.3,1.12,1.19,59.54
Cilantro,0.93,6.75,847.22,2.69,0.54,2.17,75.15
Impatiens,2.31,7.06,994.52,1.73,1.15,1.23,74.62
Pothos (Epipremnum aureum),2.69,6.26,112.7,1.74,0.22,1.13,43.68
Petunia,1.71,6.9,929.92,1.19,0.54,1.26,78.7
Cilantro,0.51,6.13,714.06,1.96,1.23,1.66,56.42
Sage,0.54,7.77,725.0,2.34,0.65,1.28,63.71
Spider plant (Chlorophytum comosum),4.15,6.23,115.49,0.83,0.64,0.54,54.49
African violet (Saintpaulia),4.75,7.14,567.28,1.65,0.42,2.3,42.34
Dill,3.36,7.07,559.64,1.97,0.89,1.52,49.91
Parsley,2.18,6.64,377.39,2.36,1.19,1.74,67.25
Tarragon,1.11,7.26,652.43,1.49,0.82,1.19,55.01
Sage,3.46,7.28,539.34,1.2,0.86,1.83,66.12
Morning glory,0.9,6.67,392.31,1.09,0.62,1.44,64.73
Spider plant (Chlorophytum comosum),2.7,5.9,672.78,1.0,1.42,1.91,40.23
Marjoram,1.76,6.0,529.24,1.55,0.87,1.99,73.18
Pothos (Epipremnum aureum),2.81,5.9,587.64,2.68,0.12,1.92,54.39
Fennel,1.25,7.82,788.44,2.07,0.92,1.06,47.77
Peppermint,1.46,6.69,339.78,2.85,1.1,1.32,84.09
Daffodil,1.75,5.91,272.04,1.29,0.85,2.38,52.38
Basil,2.53,6.77,1068.69,1.33,1.43,1.94,78.04
Tarragon,3.21,7.45,362.81,2.0,0.78,1.38,60.67
Marjoram,0.68,6.98,960.29,1.25,1.06,1.44,72.61
Spearmint,1.49,6.44,791.88,1.22,1.04,2.41,73.09
Parsley,0.8,6.47,623.04,2.73,1.12,1.48,65.06
Lavender cotton (Santolina),1.41,6.79,773.66,1.18,1.06,1.72,55.25
Peppermint,1.91,6.37,990.98,2.91,1.18,1.76,63.05
Thyme,2.2,6.7,517.15,1.27,0.52,1.28,69.09
Marigold,3.18,6.13,276.55,1.59,0.79,1.13,59.39
Geranium,3.08,6.34,663.09,1.7,0.57,1.73,60.76
Pothos (Epipremnum aureum),1.65,7.33,325.72,2.1,0.34,0.9,45.38
Fennel,2.38,7.68,734.62,1.55,0.74,1.62,58.38
Cilantro,3.67,6.8,986.78,2.32,0.93,1.49,65.07
Peace lily (Spathiphyllum),1.99,5.94,226.5,1.14,1.43,1.24,77.98
Chamomile,3.31,7.17,275.57,1.96,0.91,1.75,60.75
Marigold,0.81,6.7,330.93,2.36,0.87,1.36,69.16
Oregano,1.74,6.17,837.77,2.44,1.2,1.24,65.74
African violet (Saintpaulia),4.85,6.59,400.91,1.93,1.17,2.2,36.62
Peace lily (Spathiphyllum),0.32,6.53,647.69,0.6,0.11,2.19,68.22
Sweet pea,1.9,6.83,937.23,2.12,0.79,1.9,73.74
Daffodil,0.77,7.11,561.93,2.13,0.96,0.57,51.86
Cilantro,3.55,7.93,563.24,2.63,0.95,2.09,69.16
Spider plant (Chlorophytum comosum),2.72,5.89,766.91,1.15,1.35,2.13,67.5
Sweet pea,2.41,6.86,811.98,2.1,0.55,1.6,57.92
Fennel,3.51,6.07,203.22,2.17,0.85,1.34,60.75
Marjoram,3.43,6.44,891.49,1.66,0.89,1.9,66.94
Iris,0.39,6.33,398.18,1.67,0.9,1.96,39.39
Dill,2.54,6.0,488.72,2.26,0.81,1.13,69.12
Daffodil,1.22,6.82,540.02,1.01,0.17,2.21,61.44
Marigold,0.85,7.36,217.52,2.36,1.13,1.18,52.02
Basil,2.33,6.84,567.71,1.04,1.39,1.11,73.29
Rose,3.51,6.27,780.62,1.59,1.35,0.54,36.65
Sage,3.0,6.9,208.81,1.45,0.85,1.13,52.2
Peace lily (Spathiphyllum),3.46,6.26,725.07,0.76,1.25,1.19,60.48
Oregano,3.29,7.12,964.9,2.07,1.06,1.95,41.04
Chamomile,1.77,5.95,213.11,2.37,0.67,1.33,59.75
Tulip,2.27,6.05,710.64,1.85,0.62,2.49,70.33
Lemon balm,0.5,7.22,683.75,2.8,0.7,1.15,81.32
Tomato,0.56,6.18,935.82,2.02,0.89,1.29,58.18
Fennel,2.34,7.41,445.08,2.93,0.72,1.83,54.84
Nasturtium,0.51,7.13,495.27,1.96,0.92,1.79,60.7
Fennel,1.99,7.56,553.86,1.62,0.61,1.61,55.59
Pothos (Epipremnum aureum),4.53,6.78,413.75,1.72,0.56,0.88,33.6
Morning glory,2.16,5.97,200.64,1.15,1.12,1.27,55.99
Morning glory,3.32,6.87,554.98,1.3,0.55,1.43,68.58
Lavender,2.51,7.16,786.07,2.08,0.8,1.84,63.61
Geranium,2.41,5.54,448.6,2.81,0.95,1.73,51.46
Lemon verbena,3.32,6.57,595.98,1.31,0.66,1.03,68.48
Lavender cotton (Santolina),1.14,7.92,555.0,2.0,0.53,1.5,43.42
Tomato,1.73,5.52,585.6,1.81,1.2,1.1,52.14
Lavender,3.96,7.92,618.37,2.27,0.72,1.71,69.53
Sunflower,0.63,6.28,233.12,1.39,0.78,1.58,75.16
Bay leaf (Bay laurel),2.76,6.29,754.12,2.58,0.9,1.32,54.21
Rose,4.27,7.01,625.73,2.05,0.21,0.58,53.4
Basil,1.9,7.29,1205.52,1.44,1.48,1.84,64.16
Peppermint,3.39,6.62,660.15,2.63,0.75,1.2,69.87
Orchid,1.75,5.92,565.69,2.64,0.58,1.82,31.19
Lavender,3.29,6.73,437.19,1.52,0.78,1.35,52.12
Impatiens,3.14,7.17,514.76,2.35,0.84,1.85,63.52
Parsley,2.43,6.68,1153.17,2.76,1.03,2.1,73.3
Marigold,1.72,6.04,644.06,2.68,1.08,1.06,47.35
Iris,4.61,6.35,624.02,1.3,1.22,0.96,56.2
Lavender,0.6,6.98,604.97,1.49,0.99,0.78,55.13
Basil,0.8,7.36,1225.14,1.85,0.67,1.14,72.73
Lemon verbena,1.23,7.41,528.91,1.1,0.88,1.35,77.83
Sweet pea,1.57,5.6,237.69,2.58,0.94,1.42,70.11
Snake plant (Sansevieria trifasciata),4.8,6.7,423.94,2.89,1.49,0.64,78.15
Lavender,1.39,7.06,572.29,1.09,0.76,0.68,54.64
Chamomile,2.83,6.23,206.01,2.4,0.67,1.46,55.62
Iris,0.35,5.63,189.46,1.98,0.39,0.77,34.24
Mint,4.82,6.3,409.89,1.52,0.73,1.47,63.38
Aloe vera,2.24,7.15,469.19,2.43,0.16,1.18,56.42
Mint,4.41,7.38,1019.7,2.27,0.73,1.09,73.23
Basil,3.0,6.48,1143.27,2.84,0.55,1.5,65.32
Coriander (Cilantro),3.44,7.38,906.33,1.74,0.58,1.69,65.01
Geranium,1.32,5.79,859.35,1.66,0.55,1.01,52.04
Snapdragon,1.51,7.79,213.26,2.16,0.64,1.29,40.3
Snapdragon,2.34,6.7,408.89,1.04,0.64,1.26,55.15
Calendula (Pot marigold),2.39,6.77,291.61,2.43,0.93,1.66,57.71
Iris,4.89,6.99,301.64,2.65,0.69,1.18,49.32
Calendula (Pot marigold),1.59,6.0,449.21,1.82,0.74,1.06,56.29
Marjoram,2.25,7.5,319.89,1.49,0.56,1.33,61.05
African violet (Saintpaulia),4.24,6.78,157.55,2.33,0.39,0.51,30.76
Zinnia,1.02,7.12,731.32,1.45,0.97,1.99,65.8
Coriander (Cilantro),4.37,7.42,1151.96,2.07,0.78,1.5,51.54
Geranium,1.69,6.13,282.61,1.67,0.95,1.08,50.82
Chives,0.96,6.7,851.63,2.99,1.19,1.3,50.86
Cilantro,2.35,6.46,644.16,2.65,0.99,1.95,69.7
Bay leaf (Bay laurel),2.49,7.89,521.35,2.65,1.09,1.88,68.68
Rosemary,0.93,6.21,892.94,1.53,0.9,1.08,58.77
Tomato,4.31,6.76,456.79,2.75,0.65,1.73,50.72
Marjoram,0.63,5.95,925.51,2.93,1.17,1.77,56.96
Fennel,2.44,7.22,717.15,1.22,0.8,1.1,54.24
Coriander (Cilantro),1.31,6.17,993.67,2.9,0.94,1.62,69.81
Fennel,2.97,6.22,263.48,1.94,0.83,1.13,60.96
Iris,2.9,5.9,667.64,2.02,0.32,1.58,35.94
Orchid,1.32,5.7,797.57,1.66,1.1,1.54,47.64
Mint,2.24,6.24,473.75,2.22,1.44,1.32,76.72
Thyme,1.28,7.87,624.51,1.9,0.59,1.36,51.68
Cilantro,2.25,7.83,409.56,2.6,1.28,2.46,60.38
Peace lily (Spathiphyllum),4.58,5.73,621.66,1.52,0.27,2.2,78.39
Jade plant (Crassula ovata),3.46,6.14,629.73,0.77,1.5,0.76,61.78
Rose,2.47,7.33,588.21,1.63,1.05,1.06,54.13
Spider plant (Chlorophytum comosum),4.02,6.38,666.76,1.22,0.57,1.05,66.13
Nasturtium,0.69,6.11,849.7,1.38,1.19,1.98,65.79
Aloe vera,4.2,6.41,453.4,2.96,0.37,1.55,63.42
Lavender,2.0,7.01,301.21,2.14,0.77,1.0,41.81
Thyme,3.56,7.86,831.84,2.39,0.94,1.79,57.11
Sunflower,1.37,6.5,603.62,2.69,0.75,1.07,63.25
Basil,1.38,6.02,1414.09,1.05,1.06,1.35,62.79
Petunia,3.47,7.07,365.27,1.26,1.2,1.38,72.45
Marigold,0.57,7.9,401.18,2.78,0.69,1.68,40.66
Mint,2.53,6.94,930.46,2.2,1.32,1.97,77.66
Geranium,1.08,6.92,811.56,2.62,1.19,1.17,51.33
Oregano,2.23,6.08,345.34,1.44,1.41,1.79,46.64
Snake plant (Sansevieria trifasciata),3.92,5.96,425.75,1.19,0.93,1.17,54.82
African violet (Saintpaulia),1.51,7.22,307.92,0.68,0.79,0.82,55.7
Peace lily (Spathiphyllum),4.92,6.5,417.07,0.95,0.8,1.99,42.1
Sweet pea,2.53,7.34,359.17,1.28,1.02,1.61,50.35
Marigold,0.99,7.82,331.96,1.7,0.64,1.05,41.74
Fennel,3.72,6.81,382.45,2.35,0.71,1.51,50.32
Dill,1.84,5.82,334.73,1.06,0.92,1.89,64.39
Mint,5.42,6.22,356.44,3.21,0.83,1.52,63.06
Snapdragon,3.01,6.91,604.83,1.37,0.77,1.5,65.61
Sunflower,1.97,6.98,994.6,1.94,1.15,1.02,67.66
Peace lily (Spathiphyllum),1.67,7.39,167.64,2.75,0.99,0.91,65.86
Sweet pea,1.4,5.84,816.72,1.55,1.09,1.88,64.54
Tarragon,3.14,6.36,511.24,2.24,0.96,1.2,63.88
Pansy,1.72,5.75,532.56,2.63,1.13,1.48,58.51
Basil,1.3,6.59,560.63,2.37,1.26,1.59,79.29
Lily,0.34,6.79,647.15,2.4,0.57,1.17,40.3
Basil,1.07,6.21,427.53,1.13,0.54,2.02,78.21
Basil,1.5,5.92,737.6,2.45,0.71,1.91,83.87
Sunflower,3.33,6.17,975.25,2.22,0.84,1.44,51.6
Marigold,3.95,7.42,287.84,1.68,1.0,1.7,61.8
Sage,2.69,6.64,636.39,1.31,0.64,1.34,47.03
Peppermint,0.67,6.18,335.54,1.27,1.13,2.12,78.48
Peppermint,4.29,6.55,342.45,1.71,0.7,1.7,71.8
Spider plant (Chlorophytum comosum),3.59,6.93,798.61,2.01,0.76,2.22,74.52
Daffodil,0.92,5.51,197.32,1.75,0.97,1.05,67.89
Aloe vera,0.59,7.32,216.84,2.96,0.98,1.38,64.65
Petunia,1.8,5.52,407.34,2.04,0.56,1.57,54.49
Aloe vera,1.09,6.92,420.61,1.35,0.25,1.67,77.31
Calendula (Pot marigold),0.61,6.71,443.3,1.8,0.81,1.68,52.08
Marjoram,1.52,5.78,600.61,1.21,0.84,1.76,59.47
Basil,2.68,6.78,1073.04,2.79,0.56,2.25,61.15
Peace lily (Spathiphyllum),4.09,6.12,624.32,1.61,0.86,2.38,58.43
Crocus,2.1,7.3,225.75,2.04,1.15,0.65,35.11
Crocus,1.86,6.42,604.44,0.83,0.93,1.49,75.99
Impatiens,0.64,6.16,410.37,2.79,0.84,1.67,67.75
Impatiens,1.1,5.85,761.88,1.6,0.87,1.41,72.78
Snake plant (Sansevieria trifasciata),1.47,6.55,718.43,2.23,0.79,0.92,43.19
Lavender,3.16,7.41,447.48,2.31,0.66,1.67,61.73
African violet (Saintpaulia),0.59,7.27,755.06,2.26,1.2,1.27,59.04
Bay leaf (Bay laurel),3.16,7.87,787.03,2.52,0.81,1.26,64.83
Sunflower,2.43,6.72,495.73,1.52,0.76,1.08,62.23
Iris,3.89,6.21,559.29,0.75,1.15,0.88,36.39
Sweet pea,0.67,7.32,877.93,2.18,1.18,1.89,78.59
Peace lily (Spathiphyllum),1.82,5.51,292.39,2.41,0.52,0.51,66.62
Impatiens,1.8,5.84,936.08,1.15,0.93,1.19,57.82
Oregano,3.37,6.23,394.22,2.9,1.31,1.05,40.86
Daffodil,0.5,6.45,534.62,0.59,0.33,2.36,76.23
Crocus,4.52,5.92,504.08,2.33,0.53,2.13,49.8
Pothos (Epipremnum aureum),4.56,6.45,230.88,1.8,0.24,2.2,43.02
Peace lily (Spathiphyllum),0.6,5.91,723.92,2.8,1.38,2.41,51.98
Iris,2.64,6.55,638.44,2.55,1.21,1.11,38.57
Parsley,2.59,6.26,419.02,2.38,0.81,1.47,63.75
Bay leaf (Bay laurel),3.71,7.91,685.33,2.98,0.83,1.79,54.43
Chamomile,1.75,5.85,773.39,1.15,1.13,1.98,66.92
Marjoram,0.75,7.37,919.67,1.46,0.61,1.63,58.18
Tomato,2.05,6.14,846.96,1.64,0.8,1.63,63.01
Lemon balm,2.72,6.63,531.08,2.08,1.09,1.58,59.35
Crocus,2.04,6.2,633.12,1.0,1.28,1.23,47.15
Oregano,3.59,6.42,631.51,2.22,1.31,1.12,67.06
Thyme,2.47,6.84,432.86,2.84,0.78,1.63,59.77
Morning glory,1.64,6.71,386.56,2.79,0.86,1.57,56.38
Peace lily (Spathiphyllum),2.9,6.59,394.06,2.19,1.06,0.93,36.48
Geranium,1.89,5.85,426.5,1.27,1.2,1.66,77.75
Oregano,1.15,7.05,726.72,2.97,0.82,1.44,51.99
Peace lily (Spathiphyllum),0.2,7.41,336.5,1.43,1.08,0.65,48.89
Peppermint,1.71,6.3,529.46,2.4,0.7,2.11,88.51
Snapdragon,3.51,6.26,730.35,2.38,0.82,1.54,67.66
Sunflower,1.76,7.09,864.45,1.97,0.66,1.2,79.33
Bay leaf (Bay laurel),2.95,7.81,754.87,1.62,0.59,1.71,63.87
Rosemary,4.18,6.74,972.67,1.09,1.05,1.46,51.04
Thyme,0.57,6.89,683.01,2.71,0.69,1.06,54.31
Dill,1.12,5.57,237.67,2.49,0.79,1.57,63.9
Coriander (Cilantro),1.23,6.22,768.16,2.59,0.69,1.98,75.89
Petunia,1.76,7.4,393.96,2.29,1.04,1.77,53.63
Spider plant (Chlorophytum comosum),0.92,6.64,557.08,2.17,0.23,1.52,39.26
Oregano,1.64,6.48,455.85,2.51,0.63,1.02,55.01
Peace lily (Spathiphyllum),0.25,7.38,777.95,0.95,0.61,1.32,31.84
Lily,3.89,7.19,373.91,0.69,1.29,1.73,33.54
Chamomile,1.23,7.03,621.85,1.75,0.97,1.5,63.97
Tarragon,2.98,7.9,434.82,1.98,0.82,1.25,63.45
Sweet pea,2.54,6.01,976.71,2.54,1.09,1.11,74.3
Chives,1.3,6.01,921.97,2.28,1.12,1.48,57.65
Snapdragon,2.2,7.93,783.56,1.35,0.92,1.74,41.15
Chives,0.82,7.17,898.87,2.27,1.08,1.06,53.92
Peppermint,0.91,6.93,659.82,1.98,1.17,2.15,74.65
Iris,0.94,6.94,372.63,2.5,0.81,1.31,48.54
Lavender cotton (Santolina),0.74,7.26,310.67,1.25,0.58,1.54,65.77
Geranium,0.61,6.13,249.13,2.03,0.5,1.66,78.63
Chives,2.65,6.11,587.98,3.33,0.73,1.19,53.42
Rose,3.48,6.39,243.73,2.1,0.63,1.63,45.78
Morning glory,1.93,6.58,649.07,1.69,0.97,1.94,69.73
Jade plant (Crassula ovata),2.3,7.03,352.98,1.04,0.33,1.48,45.62
Tarragon,3.33,7.53,538.49,1.4,0.97,1.3,65.92
Spearmint,2.84,7.15,951.55,2.0,0.52,1.49,63.59
Peace lily (Spathiphyllum),2.15,6.05,443.78,2.38,0.76,1.8,75.16
Coriander (Cilantro),4.46,6.57,318.43,2.59,1.11,2.4,70.98
Impatiens,2.62,6.72,574.22,2.81,0.87,1.13,53.61
Tarragon,2.51,7.42,704.91,2.28,0.85,1.83,47.22
Jade plant (Crassula ovata),4.36,7.41,387.86,2.25,0.93,0.52,37.64
Peace lily (Spathiphyllum),2.66,6.83,419.75,2.14,0.31,2.24,61.15
Sunflower,3.4,7.31,724.77,2.04,0.95,1.46,74.39
Sage,1.21,6.85,464.15,2.05,0.78,1.57,47.23
Lemon balm,1.19,6.25,359.5,1.74,1.14,1.84,66.87
Spearmint,2.44,7.14,740.4,2.23,0.79,2.15,84.73
Calendula (Pot marigold),2.28,6.63,262.8,1.11,0.71,1.93,50.8
Dill,1.73,6.1,432.8,2.5,0.7,1.58,62.53
Daffodil,2.28,7.36,617.9,2.08,0.81,1.86,62.84
Lemon verbena,2.78,6.87,1028.68,1.56,0.56,1.82,62.99
Petunia,1.45,7.2,979.02,2.56,1.08,1.45,64.53
Petunia,1.32,6.97,611.87,2.0,0.96,1.73,66.51
Tomato,1.07,5.89,957.24,2.63,0.71,2.26,52.17
Coriander (Cilantro),0.75,6.38,991.92,1.9,0.63,1.13,78.24
Crocus,4.63,6.97,377.45,1.56,0.78,2.05,37.78
Fennel,2.67,6.16,351.11,2.18,0.81,1.35,45.81
Calendula (Pot marigold),0.52,6.84,541.6,1.31,0.69,1.48,66.93
Thyme,0.91,6.52,508.61,1.83,0.81,1.68,55.01
Rosemary,2.56,6.46,695.46,2.14,0.73,1.13,67.29
Daffodil,0.11,5.92,332.48,1.44,0.51,0.6,30.44
Marjoram,3.88,5.54,290.24,2.07,1.11,1.24,63.73
Sunflower,2.51,6.28,815.7,2.25,1.18,1.64,56.72
Calendula (Pot marigold),2.75,7.16,715.89,1.94,1.0,1.21,51.68
Oregano,2.25,7.97,494.06,2.05,0.97,1.37,65.81
Fennel,3.8,7.86,304.77,1.18,0.78,1.15,60.36
Mint,3.35,6.93,988.38,2.62,0.51,1.94,67.95
Marjoram,1.25,6.39,915.11,2.41,1.2,1.09,53.93
Fennel,2.68,6.61,310.39,2.95,0.5,1.03,44.43
Chamomile,3.91,6.37,833.63,1.09,0.84,1.71,61.82
Zinnia,2.57,6.34,649.07,1.74,0.82,1.03,76.86
Iris,1.76,5.8,168.98,2.85,0.39,1.87,33.47
Lemon verbena,0.6,7.39,856.95,1.26,0.51,1.26,68.94
Jade plant (Crassula ovata),3.13,7.34,172.37,0.93,0.4,2.03,41.59
Nasturtium,1.61,7.23,517.54,1.92,1.17,1.25,72.53
Nasturtium,1.91,7.16,283.02,2.13,0.6,1.44,54.92
Calendula (Pot marigold),1.63,7.02,470.76,2.5,0.52,1.31,54.06
Pansy,2.27,6.72,750.26,2.17,1.13,1.07,67.85
Cilantro,1.71,6.53,776.28,1.97,1.04,1.87,59.63
Stevia,2.47,5.91,351.62,1.9,0.73,1.06,65.76
Snapdragon,2.48,6.13,677.07,1.17,0.86,1.63,61.3
Sweet pea,1.76,6.9,422.09,1.89,1.15,1.18,72.6
Peppermint,3.91,6.68,1038.92,2.32,0.76,1.77,70.07
Snapdragon,1.77,6.05,319.14,1.31,0.7,2.0,63.43
Impatiens,1.84,5.75,797.28,1.32,0.91,1.9,59.1
Calendula (Pot marigold),1.72,7.14,494.06,2.49,0.9,1.55,63.96
Nasturtium,1.58,7.1,536.23,1.66,0.65,1.93,56.45
Nasturtium,1.53,6.15,786.55,2.33,0.97,1.73,57.71
Lavender cotton (Santolina),1.12,7.11,551.19,1.92,0.78,1.24,60.03
Spider plant (Chlorophytum comosum),0.76,6.04,722.55,0.56,1.39,2.38,75.73
Stevia,0.93,7.1,714.2,2.03,0.8,1.27,70.9
Calendula (Pot marigold),2.92,7.03,486.77,1.87,0.69,1.22,72.23
Chives,1.41,6.15,884.56,3.03,0.87,1.48,55.53
Parsley,0.63,5.77,591.5,2.0,0.54,1.49,73.04
Oregano,1.51,6.79,210.61,1.23,1.12,1.6,49.42
Crocus,1.15,5.83,775.27,1.84,0.6,0.64,71.08
Snake plant (Sansevieria trifasciata),1.62,6.23,504.64,2.24,0.96,0.96,59.79
Sunflower,2.66,6.36,892.6,1.77,0.99,1.19,58.71
Snake plant (Sansevieria trifasciata),3.19,5.76,460.28,2.96,1.14,0.94,70.62
Crocus,3.21,6.89,356.56,2.24,0.94,1.23,41.22
Peppermint,3.61,6.54,933.08,1.43,1.09,2.47,69.15
Peppermint,0.57,7.15,570.69,1.67,0.91,1.19,66.27
Orchid,3.43,5.8,382.91,1.57,0.69,2.15,64.54
Calendula (Pot marigold),2.31,7.0,526.04,2.38,0.85,1.73,57.01
Lavender,3.75,7.15,335.33,1.1,0.62,1.38,40.94
Orchid,3.19,6.5,649.76,1.67,0.66,1.57,34.05
Rosemary,2.39,7.7,1029.05,2.81,0.8,1.8,72.26
Sweet pea,3.11,6.79,738.47,1.69,1.2,1.78,65.7
Morning glory,0.86,6.03,986.6,1.32,0.73,1.0,73.76
Morning glory,2.17,5.91,883.25,2.75,0.99,1.35,72.36
Nasturtium,2.96,7.22,289.39,1.65,0.7,1.88,61.63
Peace lily (Spathiphyllum),0.61,6.05,567.29,1.17,0.18,1.39,57.36
Daffodil,1.8,6.88,584.15,1.08,1.33,1.08,33.35
Impatiens,3.11,6.02,601.7,2.34,0.8,1.85,78.05
Lemon balm,0.7,7.41,852.61,1.9,1.05,1.22,57.05
Lemon balm,1.62,6.38,741.3,1.94,0.72,1.27,51.02
Snake plant (Sansevieria trifasciata),0.39,7.24,334.82,2.89,0.45,2.22,69.39
Dill,1.51,6.66,722.42,1.25,0.77,1.88,68.08
Oregano,2.96,7.61,721.48,1.98,0.54,1.98,50.92
Cilantro,3.34,6.91,971.12,1.99,1.16,1.6,66.92
Tarragon,1.98,6.27,449.71,1.79,0.88,1.08,62.23
Petunia,2.45,7.25,963.64,1.4,0.53,1.92,60.75
Thyme,2.14,7.81,970.48,2.49,0.51,1.81,74.84
